stage,description
OARE_CookingPotKissGropeBreasts,"{actor0} and {actor1} are standing at the cooking pot, locked in a romantic and sensual kiss. Meanwhile, {actor0} is sensually groping {actor1}'s breasts, with {actor1} facing away from them."
OARE_DevourDrainedMaleStanding,"{actor0} is standing, looking a bit drowsy, while {actor1} stands beside them, both seemingly idle and waiting for their next erotic encounter."
OARE_CowgirlSquattingHandsOnHead,"{actor0} lies back as {actor1} kneels over him, her knees straddling his waist, and rides him, her vulva sliding along his erect penis as they engage in passionate vaginal sex."
OARE_CowgirlKneesLetGo,"{actor1} is kneeling over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva enveloping his penis in a passionate, sexual vaginalsex act."
OARE_BenchSittingSex,"{actor0} and {actor1} are sitting on the bench, with {actor0} penetrating {actor1}'s vulva with his penis, engaging in a sexual act of vaginal intercourse."
OARE_CowgirlPushLegsUp,"{actor1} is kneeling over {actor0}, who's lying back, as she impales herself on his stiff cock in a passionate cowgirl position, taking full control of the intense vaginal sex, her movements slow and deliberate as she grinds against him."
OARE_CookingPotSexNoHands,"{actor0} is standing behind {actor1}, who is bending over and facing away, as he thrusts his cock into her pussy, engaging in a passionate sexual encounter."
OARE_GropingBreastsFromBehind,"{actor0} is standing, sensually groping {actor1}'s breasts with their hands as she stands facing away from them."
OARE_ChairKneelingFemale,"{actor0} sits idle in the chair, while {actor1} stands beside them, both anticipating their next erotic engagement. The atmosphere is filled with expectation, their bodies poised for a sensual encounter."
OARE_GoToReverseCowgirlMounted2,"{actor0} is lying back, while {actor1} is kneeling beside them, in a moment of calm and stillness."
OARE_DoggystyleMaleSquatting,"{actor0} kneels behind {actor1} as she assumes the all fours position, facing away from him, and enters her from behind in doggystyle, engaging in a passionate vaginal sex act with her vulva enveloping his erect penis."
OARE_GoToDevourVampireBiteMaleStanding,"{actor0} and {actor1} are standing facing each other, their bodies inches apart, the tension between them palpable as they pause in a moment of anticipation, waiting for something to happen next."
OARE_DevourVampireBiteFemaleStanding,"{actor0} and {actor1} are standing, inches apart, as {actor1} leans in to give {actor0} a sensual, seductive vampire bite, their lips locking onto {actor0}'s neck in a romantic and erotic gesture."
OARE_HoldKneesFrontalSex,"{actor0} is kneeling over {actor1} who's lying on her back, his dick thrusting into her pussy as they engage in a passionate, missionary-style vaginal sex."
OARE_FemaleKneelingUndressMaleBottom,"{actor0} stands tall, while {actor1} kneels before him, their eyes locked as they engage in a moment of anticipation, the air thick with tension, the only sound being {actor1}'s audible breathing, their chest rising and falling with each ragged inhale and exhale, their focus solely on the moment unfolding before them."
OARE_HoldingArmsStandingBack,"{actor0} is standing behind {actor1}, who is bent over and facing away, as they engage in a passionate vaginal sex act, with {actor0}'s throbbing cock thrusting into {actor1}'s wet pussy."
OARE_LyingCuddleKiss,"{actor0} and {actor1} are cozied up beside each other, both lying on their sides, engaged in a romantic and sensual kiss, their bodies touching as they cuddle."
OARE_LyingOnSideSexFromBehind,"{actor0} is lying on his side, while {actor1} is also on her side, facing him, as they engage in passionate vaginal sex, with {actor0}'s throbbing cock thrusting into {actor1}'s moist pussy."
OARE_MaleLyingKiss,"{actor0} is lying back while {actor1} is lying beside them, and they're sharing a romantic and sensual kiss."
OARE_LyingCuddleKissMasturbation,"{actor0} is lying on their side, passionately kissing {actor1}, who is lying back, as they sensually and romantically lock lips. At the same time, {actor0} is rubbing {actor1}'s clitoris with their hand, stimulating her vulva in a sexual manner."
OARE_ActionMaleCaressHug,"{actor0} and {actor1} are standing facing each other, neither of them actively engaging in any physical interaction. They're simply standing, motionless, with no apparent action taking place between them."
OARE_AceBentOverFootjob,"{actor0} is kneeling, his cock buried between {actor1}'s feet as they assume an all-fours position, facing away, and work him into a frenzy with a sensual footjob."
OARE_ChairMaleSittingFellatio,"{actor0} is sitting in the chair, while {actor1} is kneeling in front of him, performing a blowjob, wrapping their mouth around his dick in a sensual oral encounter."
OARE_ChairGropingBreast,"{actor0} is sitting in the chair, while {actor1} is standing in front of them, her breasts being sensually groped by {actor0}'s hands. The tension is palpable as they both eagerly anticipate their next erotic encounter."
OARE_AceLyingBoobjob_MaleClimax,"{actor0} is lying back, reaching orgasm as {actor1} is sitting on top of him, giving him a sloppy boobjob with her breasts wrapped around his stiff cock."
OARE_AceCowgirlLegsCrossed,"{actor1} is riding {actor0}, sitting on top of him as he lies back, her vulva enveloping his erect cock, actively grinding and sliding up and down, their bodies merged in a passionate, sexual union."
OARE_GoBackReverseMountedFemale,"{actor0} lies back, while {actor1} kneels beside them, poised in a state of anticipation, with no immediate action unfolding between them."
OARE_GoBackMaleStandingFemaleSquatting,"{actor0} stands upright, while {actor1} crouches down into a squatting position beside them."
OARE_FKneeling_MouthFuck,"{actor0} is standing, his dick buried in {actor1}'s mouth as {actor1} sits, actively sucking his cock, their lips wrapped around his shaft in a sloppy blowjob."
OARE_CowgirlSquatting,"{actor1} is squatting over {actor0}, who's lying back, as she actively rides his cock in a cowgirl position, his dick thrusting into her pussy."
OARE_DevourVampireBiteMaleStanding,"{actor0} stands towering over {actor1}, who also stands, as {actor0}'s fangs sink into {actor1}'s neck in a sensual and seductive vampire bite, {actor1} succumbing to the intimate and erotic sensation."
OARE_CowgirlHandsOnHips,"{actor1} is on top of {actor0}, kneeling over him as he lies back, her vulva enveloping his rigid cock in a passionate cowgirl pose, his hands grasping her hips as she rides him with reckless abandon, their bodies moving in tandem as they devour each other in a frenzied, sexual dance."
OARE_HoldingChinHug,"{actor0} and {actor1} are standing together, wrapped in each other's arms, cuddling and enjoying a warm, intimate moment."
OARE_HandOnHeadBlowjob,"{actor0} stands tall, his erect cock shoved deep down {actor1}'s throat as they kneel before him, sucking him off in a frenzied blowjob. Meanwhile, {actor0}'s hand grasps the back of {actor1}'s head, holding it in place as he face-fucks them."
OARE_FSquatting_FellatioMasturbation,"{actor0} is standing while {actor1} is kneeling in front of him, her mouth wrapped around his cock as she performs a blowjob. At the same time, {actor1} is masturbating, her fingers stroking her own pussy as she gets herself off."
OARE_CowgirlLeanBack,"{actor1} is kneeling over {actor0}, who's lying back, as she rides his cock in a steamy cowgirl position, her vulva enveloping his erect penis in a passionate, sex-charged encounter."
OARE_GoBackStandingHoldingFromBehind,"{actor0} is standing, while {actor1} is standing with their back to them, facing away."
OARE_LyingCuddlingApproach,"{actor0} and {actor1} are lying side by side, cuddled up together in a warm and intimate embrace."
OARE_LyingOnSideSexRaisedLeg,"{actor0} is kneeling beside {actor1}, who is lying on her side, as he thrusts his cock into her pussy during their intense sexual encounter."
OARE_HeadCaress,"{actor0} stands beside {actor1}, gently patting {actor1}'s head with their hand, as {actor1} stands there, breathing audibly, their breath grazing their own skin."
OARE_CookingPotButtGrab,"{actor0} is standing at the cooking pot, reaching out to sensually grope {actor1}'s butt as {actor1} stands facing away, their body positioned to receive the intimate touch."
OARE_Doggystyle,"{actor0} is kneeling behind {actor1}, who is on all fours facing away, as he thrusts his cock into her pussy in a doggystyle position, their bodies moving in a rhythmic motion."
OARE_LyingCuddling,"{actor0} and {actor1} are lying side by side, cuddled up together in a warm and intimate embrace."
OARE_MaleSleepingFront,"{actor0} lies on his front, fast asleep, his body relaxed and still, unaware of the erotic adventures that await him."
OARE_LapPillowHeadStroke,"{actor0} lies on their side while {actor1} sits beside them, gently stroking {actor0}'s head with their hand, as {actor1}'s audible breathing fills the air."
OARE_DevourDrainedMaleSitting,"{actor0} is sitting in a drowsy state, while {actor1} sits beside them, both seemingly idle and anticipating their next erotic encounter. The atmosphere is tranquil, with no immediate action unfolding between the two."
OARE_DoggystyleLoweredTorsoFacingSide,"{actor0} is kneeling behind {actor1}, who is on all fours, facing away from him, as he pounds into her from behind in a doggystyle position, his dick thrusting into her pussy in a passionate and intense vaginal sex act."
